sym;num;str;val
.ql.randn;6600000;;20222
.cda.randn;6600000;;633
.bst.randn;6700000;;917
.ql.randn;6700000;;20528
.cda.randn;6700000;;645
.bst.randn;6800000;;931
.ql.randn;6800000;;22079
.cda.randn;6800000;;654
.bst.randn;6900000;;944
.ql.randn;6900000;;21107
.cda.randn;6900000;;662
.bst.randn;7000000;;968
.ql.randn;7000000;;21425
.cda.randn;7000000;;670
.bst.randn;7100000;;971
.ql.randn;7100000;;22783
.cda.randn;7100000;;683
.bst.randn;7200000;;984
.ql.randn;7200000;;22067
.cda.randn;7200000;;691
.bst.randn;7300000;;998
.ql.randn;7300000;;22349
.cda.randn;7300000;;703
.bst.randn;7400000;;1011
.ql.randn;7400000;;24521
.cda.randn;7400000;;740
.bst.randn;7500000;;1065
.ql.randn;7500000;;23965
.cda.randn;7500000;;766
.bst.randn;7600000;;1083
.ql.randn;7600000;;25279
.cda.randn;7600000;;781
.bst.randn;7700000;;1096
.ql.randn;7700000;;24872
.cda.randn;7700000;;816
.bst.randn;7800000;;1130
.ql.randn;7800000;;26599
.cda.randn;7800000;;912
.bst.randn;7900000;;1292
.ql.randn;7900000;;26505
.cda.randn;7900000;;813
.bst.randn;8000000;;1137
.ql.randn;8000000;;25862
.cda.randn;8000000;;830
.bst.randn;8100000;;1165
.ql.randn;8100000;;28104
.cda.randn;8100000;;837
.bst.randn;8200000;;1168
.ql.randn;8200000;;26817
.cda.randn;8200000;;956
.bst.randn;8300000;;1239
.ql.randn;8300000;;28706
.cda.randn;8300000;;867
.bst.randn;8400000;;1223
.ql.randn;8400000;;29456
.cda.randn;8400000;;860
.bst.randn;8500000;;1209
.ql.randn;8500000;;30287
.cda.randn;8500000;;867
.bst.randn;8600000;;1221
.ql.randn;8600000;;28554
.cda.randn;8600000;;860
.bst.randn;8700000;;1249
.ql.randn;8700000;;30148
.cda.randn;8700000;;961
.bst.randn;8800000;;1254
.ql.randn;8800000;;29300
.cda.randn;8800000;;891
.bst.randn;8900000;;1325
.ql.randn;8900000;;30319
.cda.randn;8900000;;907
.bst.randn;9000000;;1282
.ql.randn;9000000;;28777
.cda.randn;9000000;;898
.bst.randn;9100000;;1290
.ql.randn;9100000;;30311
.cda.randn;9100000;;915
.bst.randn;9200000;;1410
.ql.randn;9200000;;30138
.cda.randn;9200000;;942
.bst.randn;9300000;;1323
.ql.randn;9300000;;31877
.cda.randn;9300000;;973
.bst.randn;9400000;;1351
.ql.randn;9400000;;31572
.cda.randn;9400000;;982
.bst.randn;9500000;;1348
.ql.randn;9500000;;31753
.cda.randn;9500000;;965
.bst.randn;9600000;;1360
.ql.randn;9600000;;31054
.cda.randn;9600000;;943
.bst.randn;9700000;;1361
.ql.randn;9700000;;32959
.cda.randn;9700000;;1009
.bst.randn;9800000;;1388
.ql.randn;9800000;;31806
.cda.randn;9800000;;988
.bst.randn;9900000;;1384
.ql.randn;9900000;;32788
.cda.randn;9900000;;1058
.bst.randn;10000000;;1803
.ql.randn;10000000;;36591
.cda.randn;10000000;;1055
